unidade;ano;mes;porte_i;porte_ii;porte_iii;porte_iv;sem_porte;total
HAC;2019;1;54;33;43;31;7;168
HAC;2019;2;51;42;46;37;0;176
HAC;2019;3;51;42;40;26;0;159
HAC;2019;4;68;42;44;28;0;182
HAC;2019;5;60;48;54;24;0;186
HAC;2019;6;61;39;51;39;0;190
HAC;2019;7;60;37;54;28;0;179
HAC;2019;8;46;48;43;26;0;163
HAC;2019;9;49;34;41;23;0;147
HAC;2019;10;52;32;50;23;0;157
HAC;2019;11;66;29;31;31;0;157
HAC;2019;12;38;33;29;25;0;125
HAC;2020;1;35;26;41;35;0;137
HAC;2020;2;39;41;42;22;0;144
HAC;2020;3;35;25;49;16;0;125
HAC;2020;4;15;27;46;20;0;108
HAC;2020;5;6;26;64;24;0;120
HAC;2020;6;5;20;61;28;0;114
HAC;2020;7;14;13;57;35;0;119
HAC;2020;8;34;23;34;25;0;116
HAC;2020;9;21;35;38;25;0;119
HAC;2020;10;20;17;51;31;0;119
HAC;2020;11;36;27;38;15;0;116
HAC;2020;12;32;24;28;21;0;105
HAC;2021;1;32;23;26;18;0;99
HAC;2021;2;34;17;35;17;0;103
HAC;2021;3;53;23;41;19;0;136
HAC;2021;4;36;27;22;30;0;115
HAC;2021;5;54;27;39;30;0;150
HAC;2021;6;44;29;38;30;0;141
HAC;2021;7;42;28;42;24;0;136
HAC;2021;8;48;32;45;21;0;146
HAC;2021;9;26;29;47;6;0;108
HAC;2021;10;66;15;13;11;0;105
HAC;2021;11;86;32;12;4;0;134
HAC;2021;12;53;35;10;2;0;100
HAC;2022;1;26;28;6;5;0;65
HAC;2022;2;50;33;13;5;0;101
HAC;2022;3;37;40;15;7;0;99
HAC;2022;4;39;31;12;7;0;89
HAC;2022;5;58;37;12;3;0;110
HAC;2022;6;69;33;13;2;0;117
HAC;2022;7;45;29;19;6;0;99
HAC;2022;8;70;39;15;3;0;127
HAC;2022;9;71;32;12;11;0;126
HAC;2022;10;85;31;14;4;0;134
HAC;2022;11;80;21;8;5;0;114
HAC;2022;12;51;30;17;5;0;103
HAC;2023;1;54;32;10;3;0;99
HAC;2023;2;67;31;12;5;0;115
HAC;2023;3;100;54;24;3;0;181
HAC;2023;4;67;36;31;5;0;139
HAC;2023;5;97;51;21;9;0;178
HAC;2023;6;102;39;19;3;0;163
HAC;2023;7;77;49;34;5;0;165
HAC;2023;8;123;49;28;6;-21;185
HAC;2023;9;117;39;20;12;0;188
HAC;2023;10;124;49;23;3;0;199
HAC;2023;11;94;42;23;8;0;167
